unique_id,Fecha,auto,auto-lo-95,auto-lo-90,auto-hi-90,auto-hi-95
1,2025-09-30,1304.2334042628884,991.6561005764542,1036.3160213158314,1641.41510678889,1715.3373753323856
1,2025-10-31,1320.31833480439,997.013703538754,1043.0662344754924,1671.2653977311697,1748.4619308974998
1,2025-11-30,1030.4731093580983,772.313040943324,808.9639652820621,1312.635512435838,1374.9280056350524
1,2025-12-31,697.6683829485523,508.94424735161095,535.4177716795825,909.0866951225056,956.3742494367486
1,2026-01-31,1418.6468420611993,1028.849985792956,1083.3868028724603,1857.6549549562292,1956.1246928910562
1,2026-02-28,1307.632167013913,942.6270835440203,993.5578954277215,1720.9886732100276,1813.9749154891008
1,2026-03-31,1320.7121275310865,944.3665822698063,996.6899974135797,1750.0732708606627,1847.0375345295167
1,2026-04-30,1295.4568139469163,922.5958361720587,974.3418381477513,1722.4020267792384,1819.007078727504
1,2026-05-31,1212.4779208396483,860.5038422762184,909.2752604126657,1616.785117255301,1708.4208533397098
1,2026-06-30,1189.7947844812677,841.6002450408685,889.7761519574914,1590.9750177777928,1682.0475487267513
1,2026-07-31,1363.1536236341644,962.1047235603743,1017.5388376413937,1826.1590937738983,1931.377901098464
1,2026-08-31,1276.3365589070459,899.1830819276238,951.2715965529486,1712.481501083067,1811.6833427408747
1,2026-09-30,1323.2251464828926,917.4975327016585,973.1337512310897,1799.2642697569752,1908.370023763343
1,2026-10-31,1305.6160374359056,902.847735070468,958.0112071311781,1779.345820300435,1888.0628161256757
1,2026-11-30,1087.4922138286154,750.1116588535182,796.2670177241334,1485.2295634673492,1576.6176957513585
1,2026-12-31,708.5468384748222,486.5646232599528,516.8723249700262,971.3010313364707,1031.802556768386
