Fecha,ESM,ESM-lo-90,ESM-hi-90,ESM-lo-95,ESM-hi-95
2025-09-30,8325.637376195793,-962.8348764511247,17614.10962884271,-2742.2599663345445,19393.53471872613
2025-10-31,17627.23551532832,8338.763262681383,26915.70776797526,6559.338172797961,28695.13285785868
2025-11-30,17572.876612632124,8284.404359453543,26861.348865810705,6504.979269468273,28640.773955795976
2025-12-31,7550.635080763965,-1737.837177792304,16839.10733932023,-3517.262268807797,18618.532430335727
2026-01-31,1605192.8712620079,1595904.3990034515,1614481.3435205643,1594124.9739124358,1616260.76861158
2026-02-28,2569790.7072910224,2560502.235032466,2579079.179549579,2558722.80994145,2580858.6046405947
2026-03-31,4443839.323219395,3376499.7930392227,5511178.853399567,3172025.829208868,5715652.817229923
2026-04-30,998999.9738473588,989614.1362149422,1008385.8114797755,987816.0584989933,1010183.8891957244
2026-05-31,45907.951800815055,-110046.34156140365,201862.24516303377,-139923.05055460648,231738.9541562366
2026-06-30,37597.05633436749,-481416.3929405394,556610.5056092744,-580845.6132155446,656039.7258842796
2026-07-31,37576.20490682467,-481446.57063092163,556598.980444571,-580877.5775706916,656029.9873843408
2026-08-31,30862.396390998372,-488166.6356487251,549891.4284307219,-587598.8411684433,649323.6339504401
2026-09-30,8617.207969665125,-510411.82407005836,527646.2400093887,-609844.0295897765,627078.4455291069
2026-10-31,18244.55564208796,-500784.47639763553,537273.5876818114,-600216.6819173538,636705.7932015297
2026-11-30,18188.293046400668,-500840.73899333377,537217.3250861351,-600272.9445130541,636649.5306058554
