Fecha,ESM,ESM-lo-90,ESM-hi-90,ESM-lo-95,ESM-hi-95
2025-09-30,1546.4056422396918,1069.18471636468,2023.6265681147036,977.7618358498137,2115.04944862957
2025-10-31,1298.9022254237832,821.6812995465622,1776.1231513010043,730.2584190312725,1867.5460318162939
2025-11-30,1094.7364965587453,617.5155706113146,1571.957422506176,526.0926900825746,1663.380303034916
2025-12-31,910.2609911726017,433.0400636026509,1387.4819187425526,341.6171827630791,1478.9047995821243
2026-01-31,3102.8942951934073,2625.673367561325,3580.1152228254896,2534.2504867098505,3671.538103676964
2026-02-28,5990.207752680403,5512.986825012162,6467.428680348645,5421.56394415376,6558.851561207047
2026-03-31,25421.518795230615,22714.019905430814,28129.017685030416,22195.334881209707,28647.702709251524
2026-04-30,8871.247122866138,8393.124706545128,9349.369539187148,8301.529124355082,9440.965121377194
2026-05-31,3675.915669233755,3189.361158797068,4162.470179670442,3096.150210869624,4255.681127597886
2026-06-30,2470.6651665263366,1843.6593484531459,3097.6709845995274,1723.541652686291,3217.7886803663823
2026-07-31,2245.317096395464,1614.1880004260163,2876.4461923649114,1493.2803939029477,2997.3537988879802
2026-08-31,1863.8609132256986,1230.6046988483508,2497.1171276030464,1109.2895928182356,2618.4322336331616
2026-09-30,1538.951526676177,905.6953122476002,2172.207741104754,784.3802062076708,2293.5228471446835
2026-10-31,1292.6411468105466,659.3849323566074,1925.8973612644859,538.069826311819,2047.2124673092742
2026-11-30,1089.4595548986467,456.20333985532545,1722.7157699419681,334.88823369762713,1844.0308760996663
