 FECHA ; RENOVACION_ESAL ; INSCRIPCION_ACTAS_DOC_ESAL ; CERTIFICADOS_ESAL ; FORMULARIOS_ESAL ; INGRESOS_TOTAL_DIA ; MATRICULAS_ESAL ; MATRICULA_RUP ; INGRESOS_RENOVACIONES ; INGRESOS_CERTIFICADOS ; INGRESOS_EXPEDICION_COPIAS ; INGRESOS_MATRICULAS ; INGRESOS_ESAL ; INSCRIPCION_RUP ; RENOVACION_RUP ; ACTUALIZACION_RUP ; CERTIFICADOS_RUP ; INGRESOS_RUP ; INGRESOS_RUNEOL ; INGRESOS_SERVICIOS_ESPECIALES ; MATRICULA_COMERCIANTE ; RENOVADOS_COMERCIANTE ; RENOVADOS_ESAL ; RENOVADOS_RUP ; CANTIDAD_RENOVACIONES ; CANT_AFIL_FIDELIZADOS ; AFILIADOS_RETIRADOS ; CANT_AFIL_NUEVOS_DESP_CAMP_REN ; CANT_AFIL_NUEVOS_EN_CAMP_REN ; TOTAL_CANT_AFILIADOS ; FORMULARIOS_Y_COPIAS_RUP ; AFIL_INGRESOS_FIDEL ; AFIL_INGRESOS_NUEVOS ; INGRESOS_DERECHOS_DE_I ; INGRESOS_FORMU_DE_REGISTRO_M 
7/01/2019; $33,636,000 ; $11,680,200 ; $11,339,000 ; $1,624,000 ; $1,242,326,858 ;61;0; $696,200,827 ; $128,615,000 ;$ 846,08; $150,675,000 ; $58,279,200 ; $36,010,000 ; $(2,216,000); $17,760,000 ; $25,700,000 ; $77,254,000 ;$ 774,00; $1,889,155 ;1495;2359;197;1;2508;0;212;34;0;34;0; $-   ; $4,315,100.00 ; $103,526,400.00 ; $24,267,200.00 
8/01/2019; $28,719,000 ; $9,890,600 ; $9,889,000 ; $1,067,200 ; $1,010,479,969 ;61;0; $505,331,000 ; $114,566,400 ;$ 515,45; $151,467,000 ; $49,565,800 ; $31,578,000 ; $(1,108,000); $12,728,000 ; $24,550,000 ; $67,748,000 ;$ 258,00; $2,432,817 ;1651;1812;110;0;1912;0;2;31;0;31;0; $-   ; $3,779,400.00 ; $96,892,200.00 ; $21,703,300.00 
9/01/2019; $27,760,000 ; $11,751,200 ; $12,742,600 ; $1,647,200 ; $884,939,448 ;81;0; $395,396,000 ; $113,728,600 ;$ 431,65; $142,657,000 ; $53,901,000 ; $26,038,000 ; $(1,662,000); $16,280,000 ; $25,350,000 ; $66,006,000 ;$ 172,00;$ 400,00;1564;1377;175;0;1470;0;1;34;0;34;0; $-   ; $2,084,000.00 ; $93,739,400.00 ; $18,507,800.00 
10/01/2019; $24,702,000 ; $10,866,600 ; $10,515,400 ; $1,374,600 ; $847,879,707 ;73;0; $346,139,801 ; $117,444,500 ;$ 433,94; $144,784,000 ; $47,458,600 ; $34,934,000 ; $-   ; $14,800,000 ; $24,100,000 ; $73,839,800 ;$ 215,00; $1,023,662 ;1457;1207;138;0;1326;0;1;25;0;25;5800; $-   ; $4,960,300.00 ; $99,268,000.00 ; $17,272,400.00 
11/01/2019; $19,823,000 ; $10,219,600 ; $10,788,000 ; $1,299,200 ; $709,987,047 ;69;0; $275,551,000 ; $98,687,000 ;$ 105,62; $136,314,000 ; $42,129,800 ; $18,836,000 ; $-   ; $14,504,000 ; $22,350,000 ; $55,690,000 ;$ 258,00;$ 705,83;1391;1041;137;1;1114;0;3;34;0;34;0; $-   ; $19,260,500.00 ; $84,891,600.00 ; $15,654,200.00 
12/01/2019; $13,768,000 ; $11,041,400 ; $9,262,600 ;$ 794,60; $580,080,097 ;63;0; $230,528,000 ; $90,649,300 ;$ 275,52; $86,305,000 ; $34,866,600 ; $12,742,000 ; $-   ; $9,768,000 ; $13,950,000 ; $36,460,000 ;$ 86,00;$ 439,28;756;985;72;0;1041;0;3;9;0;9;0; $-   ; $6,341,500.00 ; $89,369,200.00 ; $11,101,200.00 
1/01/2020; $61,971,000 ; $13,166,800 ; $11,315,500 ; $2,372,900 ; $1,356,868,072 ;66;0; $844,529,000 ; $126,307,300 ;$ 446,57; $110,066,000 ; $88,826,200 ; $14,422,000 ; $7,488,000 ; $9,560,000 ; $13,780,000 ; $45,250,000 ; $1,137,100 ;$ 352,00;1644;3743;287;11;4104;65;0;0;5;70;0; $10,636,000.00 ; $4,394,200.00 ; $103,133,600.00 ; $36,820,300.00 
2/01/2020; $143,394,000 ; $10,121,800 ; $11,675,400 ; $3,910,100 ; $1,951,072,508 ;50;0; $1,375,897,650 ; $114,169,200 ;$ 145,80; $89,302,000 ; $169,101,300 ; $23,040,000 ; $14,976,000 ; $8,328,000 ; $16,068,000 ; $62,412,000 ; $1,677,100 ;$ 947,66;1303;5174;562;22;5465;98;11;0;19;117;0; $40,666,900.00 ; $8,110,500.00 ; $94,061,900.00 ; $43,357,900.00 
3/01/2020; $227,883,000 ; $8,919,500 ; $10,345,600 ; $4,367,600 ; $3,839,978,492 ;55;0; $3,181,628,000 ; $101,462,500 ;$ 9,18; $73,793,000 ; $251,515,700 ; $24,790,000 ; $40,896,000 ; $4,312,000 ; $16,328,000 ; $86,326,000 ; $2,385,000 ;$ 769,11;1129;8178;655;76;8399;265;25;0;13;278;0; $261,093,600.00 ; $6,681,000.00 ; $81,376,700.00 ; $60,713,300.00 
4/01/2020; $27,354,000 ; $1,827,600 ; $3,464,800 ;$ 335,50; $573,224,654 ;2;0; $421,115,000 ; $46,929,000 ; $-   ; $6,929,000 ; $32,981,900 ; $6,912,000 ; $19,584,000 ; $2,772,000 ; $13,936,000 ; $43,204,000 ; $-   ;$ 198,55;88;613;51;29;651;36;0;0;1;37;0; $65,706,100.00 ; $96,200.00 ; $16,968,900.00 ; $4,898,300.00 
